Imported,Imported
Results/Actions,Results/Actions
"Profile Information","Profile Information"
"Profile Title","Profile Title"
"File Information","File Information"
"File Prefix","File Prefix"
"Order export date and time will be added to this file name to avoid file overwriting.","Order export date and time will be added to this file name to avoid file overwriting."
"Local Path","Local Path"
"Absolute path or Relative to Magento install root, ex. pub/export.","Absolute path or Relative to Magento install root, ex. pub/export."
"FTP Host[:Port]","FTP Host[:Port]"
Username,Username
Password,Password
"FTP Path","FTP Path"
"Passive Mode","Passive Mode"
"Send To","Send To"
"Please note: big files (over 5Mb) can fail to attach to emails due to email servers architecture.","Please note: big files (over 5Mb) can fail to attach to emails due to email servers architecture."
"Email Sender","Email Sender"
"Email Template","Email Template"
"Automatic export settings","Automatic export settings"
"Export order","Export order"
"Order Entities","Order Entities"
Orders,Orders
"Order Fields","Order Fields"
Fields,Fields
"Add New Profile","Add New Profile"
"Export Selected Orders","Export Selected Orders"
